X1,X2
6.381810289,7.241476443
-6.329939448,4.97440028
5.58254704,6.441723475
4.794745244,6.907073093
6.025570013,5.327507793
-7.433410829,6.098890031
0.596827485,-5.250626857
-6.654811897,5.980012313
-7.206970503,5.695207205
-8.166181393,7.387376168
7.115574368,6.877306027
-0.777457653,-6.589892831
5.389676367,6.783326605
-7.313677082,5.210355129
-7.695923236,6.534986175
-6.079687396,5.876032992
6.675708016,6.946102494
-0.091678121,-7.790417447
5.318660056,5.887227776
3.764303867,7.5482791
1.149280675,-5.636897252
3.832750178,7.511071591
1.125746638,-5.812427527
6.35457182,6.470417789
0.704802041,-8.690422996
-6.145540484,5.393676949
-7.281067606,4.280301193
3.819466296,8.111704978
4.406287214,7.341765493
6.016548389,7.177822769
-6.486251313,5.71276724
-6.805997802,8.310179927
-0.527893016,-6.207130009
-6.736959345,5.572616969
-6.642257249,4.558228536
-9.523112297,4.511251438
-5.796289985,5.635752537
-6.890920142,5.908513554
0.383854214,-7.092651433
0.339644744,-6.818285099
-7.256667493,4.518517045
-0.45517538,-5.591939579
0.026624525,-7.478194807
-8.244843236,6.163786645
1.44040629,-8.290995467
-7.728376191,6.33134479
-7.766339816,5.386077186
-7.344189228,4.676142146
0.339210363,-7.367054996
1.004087675,-5.90810844
-7.065439796,6.391544821
-7.825346563,6.708330526
0.22291566,-7.494893738
-7.8153323,6.059078157
-7.534092031,6.821586541
0.658869715,-5.626515325
-0.924775918,-6.456993691
-7.032109463,4.772420473
-6.767267727,7.128600565
-6.401323528,6.511432183
0.429620479,-7.852441854
-7.776239863,6.147021092
-6.314357015,5.542569711
-7.92622742,6.150355608
-6.534479882,6.132452514
-6.933881763,4.259993351
-0.259059234,-7.092497813
-8.603750986,5.395202775
4.03836785,6.915989689
0.885623925,-6.560872115
2.139968364,-6.695694516
-5.354586222,4.916963333
3.950250363,8.392042683
1.663844198,-7.804800909
-5.589180002,4.951628966
-5.798673562,6.261748672
1.005446892,-4.775528782
4.064916522,7.894151738
0.100286853,-5.595729787
6.557217116,7.919145199
-5.888887677,5.414228522
1.693450077,-7.746253825
-7.466402933,4.913089139
-7.560311346,5.265259112
4.865496923,8.41483796
5.953160953,8.050222215
1.962049389,-7.32577727
4.001795921,7.524223638
1.138668147,-7.109943229
-0.490724412,-6.674638334
0.548606073,-6.47268795
1.366774796,-7.598657747
5.70842978,6.711063615
6.148828024,5.753218741
0.938879879,-5.723584925
0.638036075,-6.673719941
1.030862927,-6.605900182
5.351242723,7.202275167
6.005705852,7.683671844
4.696305879,7.857092151
6.978020632,7.980559557
7.170799907,8.072667746
7.524812426,7.748417533
3.874165924,8.505816941
4.257570659,8.190014212
6.825324029,6.176805814
5.753952867,7.121959018
5.163027885,6.149897845
4.07400998,7.175105212
4.32998118,8.136818583
6.916057116,7.045164523
4.848989811,7.832137692
